source,night,stamp,receiver,beacon,mac,window,n_windows,sfo_median,sfo_iqr,sfo_sd,cfo_median,cfo_iqr,cfo_sd
night8_block_T0+4200,8,20260905_025053,s3,B1,a4:f0:0f:77:91:20,T0+4200..4500,211,0.022198,0.003006,0.003387,-0.2489,5.8382,4.4125
night8_block_T0+4200,8,20260905_025053,s3,B2,28:05:a5:2f:fa:48,T0+4200..4500,372,0.010538,0.000671,0.000495,-0.1126,6.7234,5.0868
night8_block_T0+4200,8,20260905_025053,s3,B3,f4:2d:c9:70:72:30,T0+4200..4500,386,0.010870,0.000604,0.000414,0.3708,6.9799,4.9463
night8_block_T0+600,8,20260905_025053,d0wd,B1,a4:f0:0f:77:91:20,T0+600..900,226,0.005949,0.000775,0.000598,0.1495,4.4454,2.9121
night8_block_T0+600,8,20260905_025053,d0wd,B2,28:05:a5:2f:fa:48,T0+600..900,188,0.009328,0.000859,0.000659,0.4337,3.4562,2.6893
night8_block_T0+600,8,20260905_025053,d0wd,B3,f4:2d:c9:70:72:30,T0+600..900,232,0.036282,0.002364,0.001661,0.0403,4.0108,3.1477
night8_block_T0+600,8,20260905_025053,s3,B1,a4:f0:0f:77:91:20,T0+600..900,198,0.022155,0.002620,0.003321,-0.3117,4.4552,3.8922
night8_block_T0+600,8,20260905_025053,s3,B2,28:05:a5:2f:fa:48,T0+600..900,363,0.010230,0.000562,0.000429,0.2491,7.1560,4.9215
night8_block_T0+600,8,20260905_025053,s3,B3,f4:2d:c9:70:72:30,T0+600..900,392,0.011045,0.000571,0.000438,0.6906,7.5031,5.3647
night8_block_T0+6000,8,20260905_025053,d0wd,B1,a4:f0:0f:77:91:20,T0+6000..6300,223,0.006134,0.000827,0.000580,-0.3886,3.7154,2.7124
night8_block_T0+6000,8,20260905_025053,d0wd,B2,28:05:a5:2f:fa:48,T0+6000..6300,203,0.009773,0.001078,0.000748,0.1743,4.4294,3.1644
night8_block_T0+6000,8,20260905_025053,d0wd,B3,f4:2d:c9:70:72:30,T0+6000..6300,226,0.027229,0.001318,0.001002,-0.9058,4.6351,3.2689
night8_block_T0+6000,8,20260905_025053,s3,B1,a4:f0:0f:77:91:20,T0+6000..6300,214,0.023019,0.003343,0.005818,-1.0855,5.5759,4.2091
night8_block_T0+6000,8,20260905_025053,s3,B2,28:05:a5:2f:fa:48,T0+6000..6300,378,0.009915,0.000598,0.000450,-0.3794,6.8034,4.8072
